#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 02 08 22 26  MM   MM   MM   1.1    11   6.5 121     MM    MM   5.4    MM   MM   MM    MM
2024 02 08 21 56  MM   MM   MM   1.1    11   6.7 121     MM    MM   5.5    MM   MM   MM    MM
2024 02 08 21 26  MM   MM   MM   1.2     8   6.7 118     MM    MM   5.6    MM   MM   MM    MM
2024 02 08 20 56  MM   MM   MM   1.2    11   7.0 122     MM    MM   5.7    MM   MM   MM    MM
2024 02 08 20 26  MM   MM   MM   1.2    10   7.1 122     MM    MM   5.8    MM   MM   MM    MM
2024 02 08 19 56  MM   MM   MM   1.2    11   7.4 127     MM    MM   5.9    MM   MM   MM    MM
2024 02 08 19 26  MM   MM   MM   1.1    11   7.3 125     MM    MM   5.8    MM   MM   MM    MM
2024 02 08 18 56  MM   MM   MM   1.2    11   7.4 120     MM    MM   5.7    MM   MM   MM    MM
2024 02 08 18 26  MM   MM   MM   1.1    11   7.5 125     MM    MM   5.7    MM   MM   MM    MM
2024 02 08 17 56  MM   MM   MM   1.1     8   7.2 113     MM    MM   5.7    MM   MM   MM    MM
2024 02 08 17 26  MM   MM   MM   1.1    11   7.4 125     MM    MM   5.6    MM   MM   MM    MM
2024 02 08 16 56  MM   MM   MM   1.1    11   7.0 124     MM    MM   5.5    MM   MM   MM    MM
2024 02 08 16 26  MM   MM   MM   1.0     9   7.1 117     MM    MM   5.5    MM   MM   MM    MM
2024 02 08 15 56  MM   MM   MM   1.1     9   7.3 113     MM    MM   5.4    MM   MM   MM    MM
2024 02 08 15 26  MM   MM   MM   1.1     8   6.9 110     MM    MM   5.3    MM   MM   MM    MM
2024 02 08 14 56  MM   MM   MM   1.1    11   6.8 124     MM    MM   5.3    MM   MM   MM    MM
2024 02 08 14 26  MM   MM   MM   1.1    12   7.0 120     MM    MM   5.3    MM   MM   MM    MM
2024 02 08 13 56  MM   MM   MM   1.1    10   6.8 114     MM    MM   5.2    MM   MM   MM    MM
